1	1	1	150
1	2	1	175
1	3	1	150
1	4	1	125
1	5	1	250
2	1	1	150
2	2	1	175
2	3	1	150
2	4	1	125
2	5	1	250
3	1	1	150
3	2	1	175
3	3	1	150
3	4	1	125
3	5	1	250
4	1	1	150
4	2	1	175
4	3	1	150
4	4	1	125
4	5	1	250
5	1	1	150
5	2	1	175
5	3	1	150
5	4	1	125
5	5	1	250
6	1	0	125
6	2	0	150
6	3	0	125
6	4	0	100
6	5	0	225
7	1	0	125
7	2	0	150
7	3	0	125
7	4	0	100
7	5	0	225
8	1	0	125
8	2	0	150
8	3	0	125
8	4	0	100
8	5	0	225
9	1	0	125
9	2	0	150
9	3	0	125
9	4	0	100
9	5	0	225
10	1	0	125
10	2	0	150
10	3	0	125
10	4	0	100
10	5	0	225
